id,product_id:id,order_id:id,product_qty,price_unit,delivery_charges,date_planned,name
rfq_line_1,product.product_product_5,rfq_1,5,147.0,100,2025-02-23,"Corner Desk Right Sit"
rfq_line_2,product.product_product_6,rfq_1,4,320.0,80,2025-02-23,"Large Cabinet"
rfq_line_3,product.product_product_7,rfq_1,3,15.8,70,2025-02-23,"Storage Box"
rfq_line_4,product.product_product_5,rfq_2,5,147.0,100,2025-02-23,"Corner Desk Right Sit"
rfq_line_5,product.product_product_6,rfq_2,4,320.0,80,2025-02-23,"Large Cabinet"
rfq_line_6,product.product_product_7,rfq_2,3,15.8,70,2025-02-23,"Storage Box"
rfq_line_7,product.product_product_12,rfq_3,5,120.50,130,2025-04-05,"Office Chair Black"
rfq_line_8,product.product_product_13,rfq_3,4,85.0,110,2025-04-05,"Corner Desk Left Sit"
rfq_line_9,product.product_product_20,rfq_3,3,25.0,90,2025-04-05,"Drawer Black"
rfq_line_10,product.product_product_20,rfq_4,5,1950.0,150,2025-04-07,"Flipover"
rfq_line_11,product.product_product_22,rfq_4,4,2100.0,120,2025-04-07,"Desk Stand with Screen"
rfq_line_12,product.product_product_5,rfq_5,5,33.0,80,2025-04-08,"Conference Chair (Steel)"
rfq_line_13,product.product_product_6,rfq_5,4,39.4,100,2025-04-08,"Conference Chair (Aluminium)"
rfq_line_14,product.product_product_7,rfq_6,5,750.0,120,2025-04-08,"Customizable Desk (Steel, White)"
rfq_line_15,product.product_product_8,rfq_6,4,750.0,100,2025-04-08,"Customizable Desk (Steel, Black)"
rfq_line_16,product.consu_delivery_03,rfq_7,6,2350.0,120,2025-02-28,"Four Person Desk"
rfq_line_17,product.consu_delivery_02,rfq_7,5,4000.0,100,2025-02-28,"Large Meeting Table"
rfq_line_18,product.consu_delivery_01,rfq_7,3,1500.0,80,2025-02-28,"Three-Seat Sofa"
rfq_line_19,product.consu_delivery_03,rfq_8,6,2350.0,130,2025-02-28,"Four Person Desk"
rfq_line_20,product.consu_delivery_02,rfq_8,5,4000.0,110,2025-02-28,"Large Meeting Table"
rfq_line_21,product.product_product_9,rfq_9,3,750.0,140,2025-04-20,"Customizable Desk (Steel, Black)"
rfq_line_22,product.product_product_10,rfq_9,4,750.0,120,2025-04-20,"Customizable Desk (Aluminium, White)"
rfq_line_23,product.product_product_12,rfq_10,3,750.0,150,2025-04-22,"Customizable Desk (Steel, Black)"
rfq_line_24,product.product_product_13,rfq_10,4,750.0,130,2025-04-22,"Customizable Desk (Aluminium, White)"
rfq_line_25,product.product_product_8,rfq_11,5,1799.0,150,2025-03-05,"Large Desk"
rfq_line_26,product.product_product_9,rfq_11,4,47.0,120,2025-03-05,"Pedal Bin"
rfq_line_27,product.product_product_10,rfq_11,3,140.0,100,2025-03-05,"Cabinet with Doors"
rfq_line_28,product.product_product_8,rfq_12,5,1799.0,160,2025-03-05,"Large Desk"
rfq_line_29,product.product_product_9,rfq_12,4,47.0,130,2025-03-05,"Pedal Bin"
rfq_line_30,product.product_product_12,rfq_13,6,120.50,130,2025-03-10,"Office Chair Black"
rfq_line_31,product.product_product_13,rfq_13,5,85.0,110,2025-03-10,"Corner Desk Left Sit"
rfq_line_32,product.product_product_20,rfq_13,3,25.0,90,2025-03-10,"Drawer Black"
rfq_line_33,product.product_product_12,rfq_14,6,120.50,140,2025-03-10,"Office Chair Black"
rfq_line_34,product.product_product_13,rfq_14,5,85.0,120,2025-03-10,"Corner Desk Left Sit"
rfq_line_35,product.product_product_20,rfq_15,5,1950.0,150,2025-03-15,"Flipover"
rfq_line_36,product.product_product_22,rfq_15,4,2100.0,120,2025-03-15,"Desk Stand with Screen"
rfq_line_37,product.product_product_24,rfq_15,3,885.0,140,2025-03-15,"Individual Workplace"
rfq_line_38,product.product_product_25,rfq_16,6,33.0,80,2025-03-20,"Conference Chair (Steel)"
rfq_line_39,product.product_product_27,rfq_16,4,39.4,100,2025-03-20,"Conference Chair (Aluminium)"
rfq_line_40,product.product_product_5,rfq_16,3,750.0,120,2025-03-20,"Customizable Desk (Steel, White)"
rfq_line_41,product.product_product_6,rfq_17,6,33.0,90,2025-03-20,"Conference Chair (Steel)"
rfq_line_42,product.product_product_7,rfq_17,4,39.4,110,2025-03-20,"Conference Chair (Aluminium)"
rfq_line_43,product.product_product_8,rfq_18,5,1799.0,150,2025-03-25,"Large Desk"
rfq_line_44,product.product_product_9,rfq_18,3,47.0,120,2025-03-25,"Pedal Bin"
rfq_line_45,product.product_product_8,rfq_19,5,1799.0,160,2025-03-25,"Large Desk"
rfq_line_46,product.product_product_20,rfq_20,5,1950.0,150,2025-04-05,"Flipover"
rfq_line_47,product.product_product_22,rfq_20,4,2100.0,120,2025-04-05,"Desk Stand with Screen"
rfq_line_48,product.product_product_20,rfq_21,5,1950.0,160,2025-04-05,"Flipover"
